Code	Gencod	Long Name	Short Name	VAT Code	Purchase Price	Nomenclature	SousFamilleDistri Code	FamilleDistri Code	Categorie Code
NULL	3228470034043	L´OR ESPRESSO 10CAPS SUPREMO  	L´OR ESPRESSO 	1 	2.43	0105011005	37	30 	3 
120240	8712100530463	250G PLANTA FIN               	250G PLANTA FI	2 	0.83	0225300510	10	419	3 
004862	0000000004862	(MT)ABRICOT FR                	ABRICOT FR    	1 	1.45	0230349900	91	440	ZZ
013126	5449000053565	1L5 COCA COLA LIGHT           	1L5 COCA COLA 	1 	1.30	0110100505	20	300	3 
174582	3228470001007	250G CAFE MOULU L OR ABSOLU   	250G CAFE MOUL	1 	3.09	0105011005	25	30 	3 
004631	0000000004631	(FL)SALADE LAITUE             	SALADE LAITUE 	1 	0.58	0230359900	93	450	ZZ
624333	3368958362203	315G CONF.FRAISE PERIGOR U SAV	315G CONF.FRAI	1 	1.51	0105012505	10	200	15
542565	0000087157246	460G KETCHUP TOP DOWN HEINZ   	460G KETCHUP T	1 	1.41	0105034010	35	140	3 
135732	3256221135732	70 DISQUE A DEMAQUILLER RO(CU)	70 DISQUE A DE	2 	0.29	0120162505	12	670	ZZ
003012	0000000003012	(MT)POIRE ABATE 70/75         	POIRE ABATE   	1 	1.29	0230349900	91	440	ZZ
010013	3068320040127	6X150CL PACK EVIAN            	6X150CL PACK E	1 	2.93	0110103005	12	320	3 
347460	8711200607396	350G VIENNETTA BISC CR BRULEE 	350G VIENNETTA	1 	1.90	0215251005	10	410	3 
412134	3368954000611	1/2 CASSOULET CONFI.CANA U SAV	1/2 CASSOULET 	1 	2.18	0105051510	22	240	15
005084	3256224755623	570G PIZZA ROYALE C/PIERRE U  	570G PIZZA ROY	1 	1.82	0215240505	11	390	8 
520741	3242274002053	320G SALADE ANTIBES           	320G SALADE AN	1 	2.65	0240391520	53	380	3 
056629	8711600409880	200ML REXONA DEO ATO MUSK     	200ML REXONA D	2 	1.99	0120152005	50	650	3 
017968	8076809513692	400G  SAUCE NAPOLITAIN BARILLA	400G  SAUCE NA	1 	1.11	0105034510	90	140	3 
411560	3256224234487	6X1L LAIT ENTIER UHT U BK     	6X1L LAIT ENTI	1 	4.29	0225321005	40	90 	8 
418499	3256220711197	16 SUCETTES BOULES ASSORTIS U 	16 SUCETTES BO	2 	0.99	0105022515	95	70 	8 
NULL	3056440083193	CHIPSTER PETALE SALE LU PQ 75G	CHIPSTER PETAL	1 	0.77	0105020505	15	20 	3 
186123	3011932000829	100CLX14.4* MARTINI BLANC     	100CLX14.4* MA	2 	6.84	0110120515	20	360	3 
578744	3523230026383	150G CHEVRE NAT. SOIGNON 17%MG	150G CHEVRE NA	1 	1.63	0225282505	15	420	3 
038752	3256223669815	4X90G GOURD.COMPOTE POMM U BIO	4X90G GOURD.CO	1 	1.33	0105061010	85	200	11
437540	3256220511643	4X100G DESSERT/FRT POMME NAT.U	4X100G DESSERT	1 	0.59	0105061010	80	200	8 
614582	3047360801066	200G CORNED BEEF 7 OZ HEREFORD	200G CORNED BE	1 	1.52	0105050505	40	230	3 
003401	0000000003401	AVOCAT PIECE                  	AVOCAT PIECE  	1 	0.55	0230349900	91	440	ZZ
418839	3660992006885	1L PUR JUS RAISIN BIEN VU     	1L PUR JUS RAI	1 	0.72	0110101505	34	300	9 
525686	8712100872273	160G MOUTARDE FINE/FORT MAILLE	160G MOUTARDE 	1 	1.05	0105034005	30	140	3 
501218	5411633330054	33CL BIERE BLANCHE DE  NAMUR  	33CL BIERE BLA	2 	1.06	0110102005	35	310	3 
486426	7613031526406	16 X DOLCE GUSTO ESPRESSO INTE	16 X DOLCE GUS	1 	3.37	0105011005	37	30 	3 
044915	3165959213028	2X1/6 THON SCE CATALANE SAUPIQ	2X1/6 THON SCE	1 	1.80	0105051005	20	220	3 
NULL	3220035150007	1KG SUCRE POUDRE              	1KG SUCRE POUD	1 	1.00	0105031505	30	190	ZZ
410289	3256220321501	200G CAFE EXT.FILTRE LYOPHIL.U	200G CAFE EXT.	1 	3.17	0105011015	39	30 	8 
017785	3080216017785	50CL BTE KRONENBOURG RGE 7(CU)	50CL BTE KRONE	2 	0.82	0110102005	42	310	ZZ
036019	7613035011052	1L50 BOUTEILLE CONTREX        	1L50 BOUTEILLE	1 	0.45	0110103005	12	320	ZZ
232584	3279231182008	2X160G YAOURT CREME MARRON    	2X160G YAOURT 	1 	1.46	0225291030	12	418	3 
009082	0000000009082	(MT)POMME GOLDEN 2KG          	POM.GOLD.2KG  	1 	1.55	0230349900	91	440	ZZ
627844	3045670006249	BOX PAP CADEAU ROCHER CRECHE  	BOX PAP CADEAU	2 	1.29	0305600505	10	600	3 
567612	8003340091303	337G BOULES LINDOR LAIT CORNET	337G BOULES LI	1 	2.92	0105024020	34	61 	ZZ
380191	3179732368942	1L PET PERRIER CITRON VERT    	1L PET PERRIER	1 	0.77	0110103005	40	320	3 
017918	8076808060654	500G  FARFALLE         BARILLA	500G  FARFALLE	1 	0.77	0105042015	12	110	3 
120517	3160920501401	50 PANSEMENTS FAMILLE ASSORTIS	50 PANSEMENTS 	2 	1.96	0120170505	10	671	3 
188442	8714789158693	BAD ZIG ZAG MEDIUM            	BAD ZIG ZAG ME	2 	1.35	0120151015	36	650	3 
004139	0000000004139	(MT)POMME GRANNY 200/240      	POMME GRANNY 2	1 	1.65	2051805000	91	440	ZZ
173243	3023292266005	500G GATEAU RIZ         NESTLE	500G GATEAU RI	1 	1.51	0225291005	36	418	3 
020660	8000500003787	200G FERRERO ROCHERS T16      	200G FERRERO R	1 	3.50	0105024020	24	63 	3 
270980	3599740002346	250G 6 CREPES ROULE JAM/CHAMP 	250G 6 CREPES 	1 	1.41	0215241005	15	390	3 
009129	0000000009129	(MT)RAISIN ALEDO              	RAIS.ALEDO OR 	1 	3.50	0230349900	91	440	ZZ
620321	3760216980189	1.83L LESS TRAD BICARBON M.NET	1.83L LESS TRA	2 	3.61	0115130505	15	500	3 
NULL	3256220170321	SAUMON AU NATUREL U 1/5       	SAUMON AU NATU	1 	1.35	0105051005	80	220	8 
NULL	5000161032433	4X85G PORTION REPAS GOURMET P 	4X85G PORTION 	2 	1.46	0105081005	28	270	3 
